epoch,step,train_loss_epoch,train_loss_step
464,4184,15.493952751159668,
465,4193,15.469943046569824,
466,4199,,14.46916389465332
466,4202,15.40843391418457,
467,4211,15.178389549255371,
468,4220,15.314129829406738,
469,4229,15.524226188659668,
470,4238,15.494876861572266,
471,4247,15.460289001464844,
472,4249,,15.797632217407227
472,4256,15.398947715759277,
473,4265,15.503666877746582,
474,4274,15.282121658325195,
475,4283,15.39608383178711,
476,4292,15.349000930786133,
477,4299,,15.815027236938477
477,4301,15.463590621948242,
478,4310,15.373614311218262,
479,4319,15.461114883422852,
480,4328,15.56312084197998,
481,4337,15.391483306884766,
482,4346,15.355978012084961,
483,4349,,13.155369758605957
483,4355,15.272319793701172,
484,4364,15.592961311340332,
485,4373,15.204593658447266,
486,4382,15.166763305664062,
487,4391,15.42988395690918,
488,4399,,14.634251594543457
488,4400,15.262707710266113,
489,4409,15.549567222595215,
490,4418,15.545074462890625,
491,4427,15.438758850097656,
492,4436,15.289796829223633,
493,4445,15.380154609680176,
494,4449,,15.809535026550293
494,4454,15.251437187194824,
495,4463,15.584342002868652,
496,4472,15.364326477050781,
497,4481,15.400343894958496,
498,4490,15.324700355529785,
499,4499,,13.793540000915527
499,4499,15.528421401977539,
500,4508,15.4915132522583,
501,4517,15.365450859069824,
502,4526,15.405904769897461,
503,4535,15.319363594055176,
504,4544,15.436120986938477,
505,4549,,15.651219367980957
505,4553,15.575162887573242,
506,4562,15.434231758117676,
507,4571,15.23488712310791,
508,4580,15.080414772033691,
509,4589,15.47730541229248,
510,4598,15.284012794494629,
511,4599,,14.838294982910156
511,4607,15.208697319030762,
512,4616,15.501139640808105,
513,4625,15.367754936218262,
514,4634,15.413126945495605,
515,4643,15.38465404510498,
516,4649,,15.95771312713623
516,4652,15.425487518310547,
517,4661,15.47231388092041,
518,4670,15.180353164672852,
519,4679,15.557141304016113,
520,4688,15.422148704528809,
521,4697,15.32282829284668,
522,4699,,14.989872932434082
522,4706,15.331668853759766,
523,4715,15.263264656066895,
524,4724,15.47817325592041,
525,4733,15.5528564453125,
526,4742,15.523344993591309,
527,4749,,14.527961730957031
527,4751,15.240767478942871,
528,4760,15.34043025970459,
529,4769,15.526754379272461,
530,4778,15.336952209472656,
531,4787,15.1561918258667,
532,4796,15.381908416748047,
533,4799,,15.824016571044922
533,4805,15.387556076049805,
534,4814,15.344822883605957,
535,4823,15.481888771057129,
536,4832,15.418684005737305,
537,4841,15.457918167114258,
538,4849,,16.29862403869629
538,4850,15.457961082458496,
539,4859,15.22806167602539,
540,4868,15.59090805053711,
541,4877,15.50654411315918,
542,4886,15.437986373901367,
543,4895,15.41049861907959,
544,4899,,13.641636848449707
544,4904,15.420476913452148,
545,4913,15.545394897460938,
546,4922,15.538115501403809,
547,4931,15.464578628540039,
548,4940,15.34553337097168,
549,4949,,14.399916648864746
549,4949,15.289591789245605,
550,4958,15.179777145385742,
551,4967,15.321316719055176,
552,4976,15.25825309753418,
553,4985,15.560694694519043,
554,4994,15.23890495300293,
555,4999,,14.849359512329102
555,5003,15.319329261779785,
556,5012,15.359087944030762,
557,5021,15.222390174865723,
558,5030,15.264603614807129,
559,5039,15.33395004272461,
560,5048,15.427659034729004,
561,5049,,15.693106651306152
561,5057,15.336738586425781,
562,5066,15.523454666137695,
563,5075,15.177093505859375,
564,5084,15.30357551574707,
565,5093,15.515389442443848,
566,5099,,16.523225784301758
566,5102,15.068363189697266,
567,5111,15.285162925720215,
568,5120,15.284750938415527,
569,5129,15.320404052734375,
570,5138,15.478202819824219,
571,5147,15.322587013244629,
572,5149,,15.75767707824707
572,5156,15.234708786010742,
573,5165,15.420628547668457,
574,5174,15.405710220336914,
575,5183,15.439238548278809,
576,5192,15.4115571975708,
577,5199,,15.843931198120117
577,5201,15.376916885375977,
578,5210,15.19894027709961,
579,5219,15.48078727722168,
580,5228,15.219827651977539,
581,5237,15.298547744750977,
582,5246,15.44017505645752,
583,5249,,14.414141654968262
583,5255,15.500201225280762,
584,5264,15.081138610839844,
585,5273,15.451966285705566,
586,5282,15.412659645080566,
587,5291,15.377724647521973,
588,5299,,15.03342056274414
588,5300,15.4511079788208,
589,5309,15.3157320022583,
590,5318,15.253152847290039,
591,5327,15.434654235839844,
592,5336,15.570001602172852,
593,5345,15.321316719055176,
594,5349,,16.781421661376953
594,5354,15.4730863571167,
595,5363,15.268509864807129,
596,5372,15.400067329406738,
597,5381,15.307514190673828,
598,5390,15.33604621887207,
599,5399,,13.441844940185547
599,5399,15.387603759765625,
600,5408,15.345388412475586,
601,5417,15.492889404296875,
602,5426,15.320869445800781,
603,5435,15.120226860046387,
604,5444,15.356400489807129,
605,5449,,14.63650894165039
605,5453,15.22630786895752,
606,5462,15.528568267822266,
607,5471,15.374809265136719,
608,5480,15.38918399810791,
609,5489,15.310799598693848,
610,5498,15.454570770263672,
611,5499,,15.309273719787598
611,5507,15.550217628479004,
612,5516,15.314984321594238,
613,5525,15.573450088500977,
614,5534,15.5027494430542,
615,5543,15.513256072998047,
616,5549,,14.044594764709473
616,5552,15.607937812805176,
617,5561,15.070548057556152,
618,5570,15.538355827331543,
619,5579,15.273908615112305,
620,5588,15.703869819641113,
621,5597,15.45100212097168,
622,5599,,13.633123397827148
622,5606,15.331339836120605,
623,5615,15.202632904052734,
624,5624,15.252646446228027,
625,5633,15.311298370361328,
626,5642,15.420525550842285,
627,5649,,16.564788818359375
627,5651,15.313018798828125,
628,5660,15.5136137008667,
629,5669,15.311135292053223,
630,5678,15.286772727966309,
631,5687,15.044690132141113,
632,5696,15.46586799621582,
633,5699,,15.459077835083008
633,5705,15.312827110290527,
634,5714,15.350845336914062,
635,5723,15.45765495300293,
636,5732,15.441954612731934,
637,5741,15.32064437866211,
638,5749,,17.12932014465332
638,5750,15.235674858093262,
639,5759,15.332335472106934,
640,5768,15.273955345153809,
641,5777,15.530783653259277,
642,5786,15.277752876281738,
643,5795,15.50399398803711,
644,5799,,14.98570442199707
644,5804,15.390532493591309,
645,5813,15.319905281066895,
646,5822,15.546866416931152,
647,5831,15.505599975585938,
648,5840,15.309049606323242,
649,5849,,14.795022010803223
649,5849,15.625517845153809,
650,5858,15.256612777709961,
651,5867,15.128927230834961,
652,5876,15.386971473693848,
653,5885,15.245348930358887,
654,5894,15.475442886352539,
655,5899,,15.210895538330078
655,5903,15.392860412597656,
656,5912,15.32286262512207,
657,5921,15.390764236450195,
658,5930,15.377833366394043,
659,5939,15.2286958694458,
660,5948,15.235848426818848,
661,5949,,15.597735404968262
661,5957,15.64334487915039,
662,5966,15.364744186401367,
663,5975,15.233559608459473,
664,5984,15.438031196594238,
665,5993,15.181221008300781,
666,5999,,14.884291648864746
666,6002,15.443629264831543,
667,6011,15.409334182739258,
668,6020,15.52981948852539,
669,6029,15.497693061828613,
670,6038,15.325556755065918,
671,6047,15.442352294921875,
672,6049,,14.85842514038086
672,6056,15.484884262084961,
673,6065,15.532278060913086,
674,6074,15.467618942260742,
675,6083,15.349564552307129,
676,6092,15.441201210021973,
677,6099,,16.66839599609375
677,6101,15.361602783203125,
678,6110,15.365009307861328,
679,6119,15.358199119567871,
680,6128,15.260907173156738,
681,6137,15.439519882202148,
682,6146,15.19492244720459,
683,6149,,15.028478622436523
683,6155,15.340335845947266,
684,6164,15.300932884216309,
685,6173,15.50269889831543,
686,6182,15.300802230834961,
687,6191,15.285259246826172,
688,6199,,16.9531192779541
688,6200,15.336709022521973,
689,6209,15.238103866577148,
690,6218,15.4267578125,
691,6227,15.47559928894043,
692,6236,15.14439582824707,
693,6245,15.415446281433105,
694,6249,,14.135951042175293
694,6254,15.282205581665039,
695,6263,15.48747444152832,
696,6272,15.438693046569824,
697,6281,15.3743896484375,
698,6290,15.243684768676758,
699,6299,,16.94829559326172
699,6299,15.242708206176758,
700,6308,15.236656188964844,
701,6317,15.511549949645996,
702,6326,15.40053653717041,
703,6335,15.413745880126953,
704,6344,15.450927734375,
705,6349,,15.445671081542969
705,6353,15.494240760803223,
706,6362,15.544825553894043,
707,6371,15.415287971496582,
708,6380,15.411531448364258,
709,6389,15.2557954788208,
710,6398,15.538137435913086,
711,6399,,16.19334602355957
711,6407,15.399985313415527,
712,6416,15.4994478225708,
713,6425,15.444181442260742,
714,6434,15.400446891784668,
715,6443,15.346285820007324,
716,6449,,18.10731315612793
716,6452,15.55251407623291,
717,6461,15.480429649353027,
718,6470,15.334284782409668,
719,6479,15.6054105758667,
720,6488,15.533839225769043,
721,6497,15.5202054977417,
722,6499,,15.826173782348633
722,6506,15.465903282165527,
723,6515,15.359137535095215,
724,6524,15.505861282348633,
725,6533,15.363103866577148,
726,6542,15.381925582885742,
727,6549,,16.59345817565918
727,6551,15.520363807678223,
728,6560,15.328730583190918,
729,6569,15.373029708862305,
730,6578,15.421099662780762,
731,6587,15.407109260559082,
732,6596,15.0882568359375,
733,6599,,14.87681770324707
733,6605,15.331197738647461,
734,6614,15.51937484741211,
735,6623,15.432291984558105,
736,6632,15.146539688110352,
737,6641,15.2724609375,
738,6649,,17.201387405395508
738,6650,15.41713809967041,
739,6659,15.349832534790039,
740,6668,15.413981437683105,
741,6677,15.240760803222656,
742,6686,15.400463104248047,
743,6695,15.351641654968262,
744,6699,,15.475420951843262
744,6704,15.332697868347168,
745,6713,15.362086296081543,
746,6722,15.269306182861328,
747,6731,15.314583778381348,
748,6740,15.51877498626709,
749,6749,,14.796920776367188
749,6749,15.574808120727539,
750,6758,15.435507774353027,
751,6767,15.37455940246582,
752,6776,15.524656295776367,
753,6785,15.484644889831543,
754,6794,15.48277759552002,
755,6799,,15.902266502380371
755,6803,15.515280723571777,
756,6812,15.429560661315918,
757,6821,15.311765670776367,
758,6830,15.500388145446777,
759,6839,15.436439514160156,
760,6848,15.450122833251953,
761,6849,,16.055830001831055
761,6857,15.308756828308105,
762,6866,15.376182556152344,
763,6875,15.27878475189209,
764,6884,15.248275756835938,
765,6893,15.372197151184082,
766,6899,,14.863033294677734
766,6902,15.30164909362793,
767,6911,15.273225784301758,
768,6920,15.337590217590332,
769,6929,15.28223991394043,
770,6938,15.238409996032715,
771,6947,15.675952911376953,
772,6949,,15.878033638000488
772,6956,15.288689613342285,
773,6965,15.34544563293457,
774,6974,15.612923622131348,
775,6983,15.18723201751709,
776,6992,15.123284339904785,
777,6999,,13.87592887878418
777,7001,15.213834762573242,
778,7010,15.443171501159668,
779,7019,15.317986488342285,
780,7028,15.402438163757324,
781,7037,15.420825958251953,
782,7046,15.306148529052734,
783,7049,,17.667890548706055
783,7055,15.384425163269043,
784,7064,15.593762397766113,
785,7073,15.311788558959961,
786,7082,15.574719429016113,
787,7091,15.339678764343262,
788,7099,,16.551433563232422
788,7100,15.165692329406738,
789,7109,15.444846153259277,
790,7118,15.274025917053223,
791,7127,15.155766487121582,
792,7136,15.529802322387695,
793,7145,15.454833984375,
794,7149,,14.672013282775879
794,7154,15.167887687683105,
795,7163,15.427512168884277,
796,7172,15.482492446899414,
797,7181,15.211307525634766,
798,7190,15.372040748596191,
799,7199,,18.193134307861328
799,7199,15.426824569702148,
800,7208,15.247780799865723,
801,7217,15.487212181091309,
802,7226,15.410012245178223,
803,7235,15.493568420410156,
804,7244,15.431119918823242,
805,7249,,15.882689476013184
805,7253,15.459151268005371,
806,7262,15.462278366088867,
807,7271,15.396223068237305,
808,7280,15.27125358581543,
809,7289,15.305878639221191,
810,7298,15.428535461425781,
811,7299,,14.700960159301758
811,7307,15.316096305847168,
812,7316,15.270066261291504,
813,7325,15.488821029663086,
814,7334,15.259105682373047,
815,7343,15.204724311828613,
816,7349,,15.201495170593262
816,7352,15.302584648132324,
817,7361,15.467443466186523,
818,7370,15.615777969360352,
819,7379,15.41172981262207,
820,7388,15.485028266906738,
821,7397,15.263466835021973,
822,7399,,16.112770080566406
822,7406,15.331059455871582,
823,7415,15.46144962310791,
824,7424,15.436956405639648,
825,7433,15.403889656066895,
826,7442,15.629240036010742,
827,7449,,13.980982780456543
827,7451,15.541180610656738,
828,7460,15.055276870727539,
829,7469,15.471885681152344,
830,7478,15.228625297546387,
831,7487,15.325291633605957,
832,7496,15.460760116577148,
833,7499,,15.30703067779541
833,7505,15.406057357788086,
834,7514,15.352810859680176,
835,7523,15.396062850952148,
836,7532,15.654234886169434,
837,7541,15.466659545898438,
838,7549,,16.292461395263672
838,7550,15.368492126464844,
839,7559,15.59395980834961,
840,7568,15.282369613647461,
841,7577,15.421483039855957,
842,7586,15.473020553588867,
843,7595,15.33108901977539,
844,7599,,16.99420928955078
844,7604,15.359627723693848,
845,7613,15.321029663085938,
846,7622,15.511431694030762,
847,7631,15.255300521850586,
848,7640,15.449990272521973,
849,7649,,15.676440238952637
849,7649,15.473052024841309,
850,7658,15.408971786499023,
851,7667,15.449179649353027,
852,7676,15.17970085144043,
853,7685,15.239947319030762,
854,7694,15.191376686096191,
855,7699,,17.120506286621094
855,7703,15.272180557250977,
856,7712,15.300671577453613,
857,7721,15.294645309448242,
858,7730,15.370862007141113,
859,7739,15.52467155456543,
860,7748,15.387346267700195,
861,7749,,16.310142517089844
861,7757,15.554312705993652,
862,7766,15.330954551696777,
863,7775,15.316679954528809,
864,7784,15.353440284729004,
865,7793,15.292272567749023,
866,7799,,13.743668556213379
866,7802,15.435649871826172,
867,7811,15.274247169494629,
868,7820,15.396183967590332,
869,7829,15.338153839111328,
870,7838,15.528543472290039,
871,7847,15.31125545501709,
872,7849,,15.772544860839844
872,7856,15.3114013671875,
873,7865,15.475729942321777,
874,7874,15.507257461547852,
875,7883,15.569421768188477,
876,7892,15.354965209960938,
877,7899,,15.281715393066406
877,7901,15.466833114624023,
878,7910,15.379887580871582,
879,7919,15.377635955810547,
880,7928,15.410721778869629,
881,7937,15.54161262512207,
882,7946,15.277013778686523,
883,7949,,15.162912368774414
883,7955,15.387744903564453,
884,7964,15.329144477844238,
885,7973,15.318594932556152,
886,7982,15.307522773742676,
887,7991,15.441755294799805,
888,7999,,14.876909255981445
888,8000,15.454050064086914,
889,8009,15.360363960266113,
890,8018,15.345685958862305,
891,8027,15.269957542419434,
892,8036,15.394038200378418,
893,8045,15.383135795593262,
894,8049,,13.460824966430664
894,8054,15.287076950073242,
895,8063,15.539036750793457,
896,8072,15.453163146972656,
897,8081,15.277106285095215,
898,8090,15.575122833251953,
899,8099,,16.331846237182617
899,8099,15.203932762145996,
900,8108,15.370466232299805,
901,8117,15.338308334350586,
902,8126,15.219690322875977,
903,8135,15.326621055603027,
904,8144,15.593938827514648,
905,8149,,15.657309532165527
905,8153,15.310150146484375,
906,8162,15.334794044494629,
907,8171,15.262121200561523,
908,8180,15.393263816833496,
909,8189,15.497424125671387,
910,8198,15.285811424255371,
911,8199,,14.829510688781738
911,8207,15.526900291442871,
912,8216,15.408087730407715,
913,8225,15.105865478515625,
914,8234,15.612602233886719,
915,8243,15.34279727935791,
916,8249,,14.928506851196289
916,8252,15.22091293334961,
917,8261,15.609314918518066,
918,8270,15.492581367492676,
919,8279,15.656219482421875,
920,8288,15.130584716796875,
