epoch,lr-Adam,step,train_loss_epoch,train_loss_step
,0.0015,0,,
0,,49,,4.790196895599365
0,,99,,10.004396438598633
0,,149,,9.202655792236328
0,,199,,6.747535705566406
0,,249,,6.624911308288574
0,,299,,5.938749313354492
0,,349,,10.208779335021973
0,,399,,7.1265082359313965
0,,445,7.210017204284668,
,0.00135,446,,
1,,449,,5.660856246948242
1,,499,,5.457131385803223
1,,549,,6.11265230178833
1,,599,,9.87961196899414
1,,649,,5.747122764587402
1,,699,,8.296331405639648
1,,749,,5.03223991394043
1,,799,,4.1621928215026855
1,,849,,5.6464996337890625
1,,891,6.507442951202393,
,0.0012150000000000002,892,,
2,,899,,4.8955488204956055
2,,949,,9.784708023071289
2,,999,,5.4178786277771
2,,1049,,3.8087198734283447
2,,1099,,3.370425224304199
2,,1149,,4.092010974884033
2,,1199,,5.96317720413208
2,,1249,,4.006708145141602
2,,1299,,5.832862854003906
2,,1337,5.878724575042725,
,0.0010935,1338,,
3,,1349,,4.939845561981201
3,,1399,,8.769335746765137
3,,1449,,4.045000076293945
3,,1499,,4.118991374969482
3,,1549,,4.035091400146484
3,,1599,,3.58497953414917
3,,1649,,4.374272346496582
3,,1699,,6.330340385437012
3,,1749,,4.561896800994873
3,,1783,5.380465030670166,
,0.00098415,1784,,
4,,1799,,2.802551746368408
4,,1849,,3.856024980545044
4,,1899,,3.9813625812530518
4,,1949,,3.0659289360046387
4,,1999,,3.33528470993042
4,,2049,,8.167620658874512
4,,2099,,2.53682541847229
4,,2149,,2.41609525680542
4,,2199,,3.9211535453796387
4,,2229,5.129305839538574,
,0.000885735,2230,,
5,,2249,,3.8014705181121826
5,,2299,,9.301292419433594
5,,2349,,3.076409101486206
5,,2399,,2.473853588104248
5,,2449,,2.435495615005493
5,,2499,,5.254800796508789
5,,2549,,2.277710199356079
5,,2599,,3.2044718265533447
5,,2649,,4.524670124053955
5,,2675,5.013157367706299,
,0.0007971615000000001,2676,,
6,,2699,,3.932701587677002
6,,2749,,9.228960037231445
6,,2799,,3.53197979927063
6,,2849,,5.778908729553223
6,,2899,,5.4082794189453125
6,,2949,,9.683417320251465
6,,2999,,2.426215410232544
6,,3049,,10.744314193725586
6,,3099,,4.860629558563232
6,,3121,4.66973876953125,
,0.00071744535,3122,,
7,,3149,,2.687748432159424
7,,3199,,2.1410794258117676
7,,3249,,2.3149659633636475
7,,3299,,3.880113124847412
7,,3349,,2.912177562713623
7,,3399,,3.348787546157837
7,,3449,,4.506442070007324
7,,3499,,6.098605632781982
7,,3549,,8.203269958496094
7,,3567,4.585567474365234,
,0.000645700815,3568,,
8,,3599,,2.182281970977783
8,,3649,,2.20976185798645
8,,3699,,7.036039352416992
8,,3749,,1.9712237119674683
8,,3799,,2.536022901535034
8,,3849,,2.956153392791748
8,,3899,,3.3281779289245605
8,,3949,,4.073000431060791
8,,3999,,5.329429626464844
8,,4013,4.3009538650512695,
,0.0005811307335,4014,,
9,,4049,,2.953678846359253
9,,4099,,3.018519401550293
9,,4149,,2.081902265548706
9,,4199,,1.7980655431747437
9,,4249,,2.4945967197418213
9,,4299,,1.831377387046814
9,,4349,,5.394896030426025
9,,4399,,7.219715118408203
9,,4449,,4.907530784606934
9,,4459,4.013801574707031,
,0.0005230176601500001,4460,,
10,,4499,,2.397982120513916
10,,4549,,7.212353229522705
10,,4599,,3.2862794399261475
10,,4649,,1.9773746728897095
10,,4699,,2.8503663539886475
10,,4749,,1.823332667350769
10,,4799,,2.357117176055908
10,,4849,,3.523184061050415
10,,4899,,3.540607213973999
10,,4905,3.870192527770996,
,0.00047071589413500006,4906,,
11,,4949,,1.7766863107681274
11,,4999,,2.2060678005218506
11,,5049,,1.5577847957611084
11,,5099,,1.9836355447769165
11,,5149,,2.04142689704895
11,,5199,,1.7898447513580322
11,,5249,,4.103048324584961
11,,5299,,9.490093231201172
11,,5349,,3.7480180263519287
11,,5351,3.6143946647644043,
,0.0004236443047215001,5352,,
12,,5399,,1.7310371398925781
12,,5449,,2.124675989151001
12,,5499,,8.56951904296875
12,,5549,,2.3878891468048096
12,,5599,,3.7710824012756348
12,,5649,,1.2001696825027466
12,,5699,,3.310600757598877
12,,5749,,3.610969066619873
12,,5797,3.4620509147644043,
,0.0003812798742493501,5798,,
13,,5799,,1.8215746879577637
13,,5849,,1.567610740661621
13,,5899,,6.097478866577148
13,,5949,,1.4845820665359497
13,,5999,,1.2781959772109985
13,,6049,,1.4293439388275146
13,,6099,,3.4949429035186768
13,,6149,,1.2691980600357056
13,,6199,,3.321424961090088
13,,6243,3.326281785964966,
,0.0003431518868244151,6244,,
14,,6249,,1.6817036867141724
14,,6299,,6.71888542175293
14,,6349,,1.8537344932556152
14,,6399,,2.9160351753234863
14,,6449,,1.3019577264785767
14,,6499,,3.7051925659179688
14,,6549,,1.1964237689971924
14,,6599,,8.321911811828613
14,,6649,,3.168039560317993
14,,6689,3.2071690559387207,
,0.0003088366981419736,6690,,
15,,6699,,2.738301992416382
15,,6749,,0.9978764653205872
15,,6799,,2.635185718536377
15,,6849,,1.6671570539474487
15,,6899,,3.6140925884246826
15,,6949,,0.877190351486206
15,,6999,,2.1857192516326904
15,,7049,,1.3043047189712524
15,,7099,,3.9550654888153076
15,,7135,3.128150463104248,
,0.0002779530283277762,7136,,
16,,7149,,2.4215595722198486
16,,7199,,3.1970930099487305
16,,7249,,1.2165642976760864
16,,7299,,2.446842908859253
16,,7349,,1.207818865776062
16,,7399,,1.6933557987213135
16,,7449,,2.4486083984375
16,,7499,,1.4682976007461548
16,,7549,,3.6756200790405273
16,,7581,2.9866855144500732,
,0.0002501577254949986,7582,,
17,,7599,,3.838763952255249
17,,7649,,6.476955890655518
17,,7699,,0.6973866820335388
17,,7749,,1.1608397960662842
17,,7799,,1.8483946323394775
17,,7849,,1.3006489276885986
17,,7899,,1.127799391746521
17,,7949,,1.3409759998321533
17,,7999,,3.4501025676727295
17,,8027,2.831359386444092,
,0.00022514195294549873,8028,,
18,,8049,,3.8057479858398438
18,,8099,,1.140990972518921
18,,8149,,6.828053951263428
18,,8199,,4.0526838302612305
18,,8249,,0.7335057854652405
18,,8299,,1.2243399620056152
18,,8349,,1.7400314807891846
18,,8399,,1.4362179040908813
18,,8449,,3.3819801807403564
18,,8473,2.6909008026123047,
,0.00020262775765094885,8474,,
19,,8499,,4.440568447113037
19,,8549,,1.0860997438430786
19,,8599,,0.8670168519020081
19,,8649,,4.970241069793701
19,,8699,,2.493964433670044
19,,8749,,0.719338595867157
19,,8799,,1.4159233570098877
19,,8849,,3.2481637001037598
19,,8899,,4.303976058959961
19,,8919,2.5529065132141113,
